code,code_20km,massif_ha,part_loin_voie,part_loin_piste,part_loin_eau,part_resineux,pistes_km,densite_pistes_m_ha,points_eau,brule_2022_ha,dnbr_moyen,obligations_old,obligations_prioritaires,constructions,indice_vigilance
DE64G8,DE64,398.9,0.0,1.0,1.0,0.364,0.0,0.0,0,291.0,0.588,1,1,4,34.0
DE64G9,DE64,393.9,0.0,1.0,1.0,0.501,0.0,0.0,0,0.0,,9,9,11,38.0
DE66G0,DE66,377.6,0.0,1.0,1.0,0.217,0.0,0.0,0,0.0,,51,16,92,37.0
DE66G1,DE66,356.0,0.0,1.0,1.0,0.376,0.0,0.0,0,0.0,,5,5,109,42.0
DE66G2,DE66,161.9,0.0,1.0,1.0,0.08,0.0,0.0,0,0.0,,0,0,297,47.0
DE62H7,DE62,85.8,0.0,1.0,1.0,0.801,0.0,0.0,0,0.0,,0,0,14,46.0
DE62H8,DE62,388.9,0.0,1.0,1.0,0.628,0.0,0.0,0,0.0,,30,29,60,45.0
DE62H9,DE62,371.0,0.0,1.0,0.722,0.657,0.0,0.0,0,0.0,,103,39,192,47.0
DE64H0,DE64,290.6,0.0,1.0,0.38,0.513,0.0,0.0,7,0.0,,675,8,1203,42.0
DE64H1,DE64,389.0,0.0,1.0,1.0,0.668,0.0,0.0,0,0.1,0.323,26,26,52,45.0
DE64H2,DE64,395.2,0.0,1.0,1.0,0.487,0.0,0.0,0,181.4,0.478,4,4,8,38.0
DE64H3,DE64,383.4,0.006,1.0,0.596,0.673,0.0,0.0,2,352.5,0.375,61,6,100,39.0
DE64H4,DE64,385.1,0.0,1.0,0.743,0.38,0.0,0.0,0,399.2,0.406,31,17,48,31.0
DE64H5,DE64,394.9,0.0,1.0,1.0,0.505,0.0,0.0,0,399.2,0.408,11,8,14,39.0
DE64H6,DE64,380.3,0.0,1.0,0.67,0.539,0.0,0.0,1,399.2,0.465,86,4,156,41.0
DE64H7,DE64,383.7,0.0,1.0,0.757,0.515,0.0,0.0,0,399.2,0.522,68,15,107,39.0
DE64H8,DE64,394.2,0.0,1.0,1.0,0.389,0.0,0.0,0,399.2,0.522,3,3,6,35.0
DE64H9,DE64,387.7,0.0,1.0,1.0,0.711,0.0,0.0,0,43.7,0.381,0,0,0,43.0
DE66H0,DE66,360.7,0.0,1.0,1.0,0.71,0.0,0.0,0,0.0,,26,22,53,46.0
DE66H1,DE66,353.4,0.0,1.0,1.0,0.504,0.0,0.0,0,0.0,,0,0,77,43.0
DE66H2,DE66,193.8,0.0,1.0,1.0,0.271,0.0,0.0,0,0.0,,0,0,820,52.0
DE62K7,DE62,362.2,0.0,1.0,1.0,0.557,0.0,0.0,0,0.0,,0,0,2,39.0
DE62K8,DE62,340.8,0.0,1.0,1.0,0.765,0.0,0.0,0,0.0,,0,0,3,44.0
DE62K9,DE62,383.9,0.0,1.0,0.926,0.671,0.0,0.0,0,0.0,,0,0,94,46.0
DE64K0,DE64,379.3,0.0,1.0,0.403,0.611,0.0,0.0,1,0.0,,2,2,141,35.0
DE64K1,DE64,397.6,0.0,1.0,1.0,0.738,0.0,0.0,0,0.0,,0,0,14,44.0
DE64K2,DE64,395.5,0.0,1.0,1.0,0.616,0.0,0.0,0,0.0,,11,8,22,42.0
DE64K3,DE64,382.6,0.0,1.0,0.746,0.502,0.0,0.0,0,75.8,0.452,81,28,142,41.0
DE64K4,DE64,398.8,0.0,1.0,0.997,0.48,0.0,0.0,0,260.2,0.373,1,1,1,37.0
DE64K5,DE64,397.4,0.0,1.0,1.0,0.574,0.0,0.0,0,329.2,0.43,2,2,6,40.0
DE64K6,DE64,398.0,0.0,1.0,1.0,0.564,0.0,0.0,0,397.5,0.492,0,0,0,39.0
DE64K7,DE64,397.5,0.0,1.0,1.0,0.657,0.0,0.0,0,399.2,0.588,0,0,0,41.0
DE64K8,DE64,388.0,0.0,1.0,1.0,0.513,0.0,0.0,0,299.7,0.555,11,5,17,39.0
DE64K9,DE64,376.0,0.0,1.0,1.0,0.61,0.0,0.0,0,32.6,0.46,44,3,65,45.0
DE66K0,DE66,398.3,0.0,1.0,1.0,0.608,0.0,0.0,0,0.0,,0,0,0,40.0
DE66K1,DE66,385.1,0.0,1.0,1.0,0.311,0.0,0.0,0,0.0,,0,0,47,36.0
DE66K2,DE66,189.0,0.0,1.0,1.0,0.289,0.0,0.0,0,0.0,,0,0,545,52.0
DE62L7,DE62,389.8,0.0,1.0,1.0,0.592,0.0,0.0,0,0.0,,0,0,7,40.0
DE62L8,DE62,395.2,0.0,1.0,1.0,0.741,0.0,0.0,0,0.0,,0,0,2,44.0
DE62L9,DE62,399.5,0.0,1.0,1.0,0.85,0.0,0.0,0,0.0,,0,0,0,46.0
DE64L0,DE64,397.3,0.0,1.0,1.0,0.893,0.0,0.0,0,0.0,,0,0,0,47.0
DE64L1,DE64,387.3,0.0,1.0,1.0,0.694,0.0,0.0,0,0.0,,0,0,69,47.0
DE64L2,DE64,392.2,0.0,1.0,0.884,0.751,0.0,0.0,0,0.0,,4,4,7,41.0
DE64L3,DE64,353.8,0.0,1.0,0.106,0.296,0.0,0.0,4,0.0,,186,12,297,30.0
DE64L4,DE64,396.8,0.0,1.0,0.959,0.452,0.0,0.0,0,0.0,,2,2,5,36.0
DE64L5,DE64,396.2,0.0,1.0,1.0,0.504,0.0,0.0,0,0.5,0.363,1,1,1,38.0
DE64L6,DE64,375.7,0.0,1.0,0.829,0.638,0.0,0.0,0,62.1,0.501,30,14,49,40.0
DE64L7,DE64,356.6,0.0,1.0,0.699,0.563,0.0,0.0,0,158.9,0.587,14,14,31,34.0
DE64L8,DE64,325.0,0.0,1.0,0.689,0.319,0.0,0.0,2,20.5,0.477,44,27,77,30.0
DE64L9,DE64,309.4,0.0,1.0,1.0,0.171,0.0,0.0,0,0.0,,84,36,152,39.0
DE66L0,DE66,363.7,0.0,1.0,0.8,0.322,0.0,0.0,0,0.0,,0,0,198,41.0
DE66L1,DE66,343.9,0.0,1.0,0.96,0.325,0.0,0.0,0,0.0,,0,0,236,48.0
DE66L2,DE66,309.5,0.0,1.0,1.0,0.243,0.0,0.0,0,0.0,,0,0,133,40.0
DE82A7,DE82,373.4,0.0,1.0,1.0,0.398,0.0,0.0,0,0.0,,0,0,100,42.0
DE82A8,DE82,386.3,0.0,1.0,1.0,0.579,0.0,0.0,0,0.0,,0,0,28,41.0
DE82A9,DE82,398.8,0.0,1.0,1.0,0.498,0.0,0.0,0,0.0,,0,0,1,38.0
DE84A0,DE84,394.6,0.0,1.0,1.0,0.587,0.0,0.0,0,0.0,,0,0,37,42.0
DE84A1,DE84,389.0,0.0,1.0,1.0,0.731,0.0,0.0,0,0.0,,0,0,54,47.0
DE84A2,DE84,369.6,0.0,1.0,1.0,0.507,0.0,0.0,0,0.0,,42,20,90,44.0
DE84A3,DE84,377.0,0.0,1.0,0.977,0.543,0.0,0.0,0,0.0,,31,31,55,42.0
DE84A4,DE84,399.0,0.0,1.0,1.0,0.739,0.0,0.0,0,0.0,,0,0,2,44.0
DE84A5,DE84,395.9,0.0,1.0,1.0,0.653,0.0,0.0,0,0.0,,4,4,2,41.0
